school_name,address,postal_code,planning_area,town,latitude,longitude
"Bukit View Primary School","18 BUKIT BATOK STREET 21 BUKIT VIEW PRIMARY SCHOOL SINGAPORE 659634","659634","BUKIT BATOK","BUKIT BATOK","1.34586054788695","103.75366641455"
"Canberra Primary School","21 ADMIRALTY DRIVE CANBERRA PRIMARY SCHOOL SINGAPORE 757714","757714","SEMBAWANG","SEMBAWANG","1.45125024371543","103.815858858929"
"Canossa Catholic Primary School","1 SALLIM ROAD CANOSSA CATHOLIC PRIMARY SCHOOL SINGAPORE 387621","387621","GEYLANG","GEYLANG","1.32664424544839","103.882227964852"
"Cantonment Primary School","1 CANTONMENT CLOSE CANTONMENT PRIMARY SCHOOL SINGAPORE 088256","088256","BUKIT MERAH","BUKIT MERAH","1.27547252623201","103.839962631748"
"Casuarina Primary School","30 PASIR RIS STREET 41 CASUARINA PRIMARY SCHOOL SINGAPORE 518935","518935","PASIR RIS","PASIR RIS","1.37246063927999","103.957020286115"
"Catholic High School (Primary Section)","9 BISHAN STREET 22 CATHOLIC HIGH SCHOOL SINGAPORE 579767","579767","BISHAN","BISHAN","1.3547230747166","103.844874676599"
"Cedar Primary School","15 CEDAR AVENUE BIG HEART STUDENT CARE (CEDAR PRIMARY SCHOOL) SINGAPORE 349700","349700","TOA PAYOH","TOA PAYOH","1.33566084356265","103.87562006259"
"Changkat Primary School","11 SIMEI STREET 3 CHANGKAT PRIMARY SCHOOL SINGAPORE 529896","529896","TAMPINES","TAMPINES","1.34023163951633","103.952080114035"
"CHIJ (Katong) Primary","17 MARTIA ROAD CHIJ (KATONG) PRIMARY SINGAPORE 424821","424821","BEDOK","BEDOK","1.30648535277087","103.911105620496"
"CHIJ (Kellock)","1 BUKIT TERESA ROAD CHIJ (KELLOCK) SINGAPORE 099757","099757","BUKIT MERAH","BUKIT MERAH","1.275022722964","103.828157564896"
"CHIJ Our Lady of Good Counsel","2C BURGHLEY DRIVE CHIJ OUR LADY OF GOOD COUNSEL SINGAPORE 558979","558979","SERANGOON","SERANGOON","1.35742952269615","103.864009397373"
"CHIJ Our Lady of the Nativity","1257 UPPER SERANGOON ROAD CHIJ OUR LADY OF THE NATIVITY SINGAPORE 534793","534793","HOUGANG","HOUGANG","1.37330297140128","103.897575728303"
"CHIJ Our Lady Queen of Peace","4 CHESTNUT DRIVE CHIJ OUR LADY QUEEN OF PEACE SINGAPORE 679287","679287","BUKIT PANJANG","BUKIT PANJANG","1.366603668561","103.767412204602"
"CHIJ Primary (Toa Payoh)","628 LORONG 1 TOA PAYOH CHIJ PRIMARY (TOA PAYOH) SINGAPORE 319765","319765","TOA PAYOH","TOA PAYOH","1.33275264711587","103.841847263786"
"CHIJ St. Nicholas Girls' School (Primary Section)","501 ANG MO KIO STREET 13 CHIJ SAINT NICHOLAS GIRLS' SCHOOL SINGAPORE 569405","569405","ANG MO KIO","ANG MO KIO","1.37347687878916","103.834253269436"
"Chongfu School","170 YISHUN AVENUE 6 CHONGFU SCHOOL SINGAPORE 768959","768959","YISHUN","YISHUN","1.43839562897006","103.839309173817"
"Chongzheng Primary School","1 TAMPINES STREET 21 BIG HEART STUDENT CARE (CHONGZHENG PRIMARY SCHOOL) SINGAPORE 529392","529392","TAMPINES","TAMPINES","1.35061130568554","103.951317297552"
"Chua Chu Kang Primary School","20 CHOA CHU KANG AVENUE 2 CHUA CHU KANG PRIMARY SCHOOL SINGAPORE 689905","689905","CHOA CHU KANG","CHOA CHU KANG","1.37775890093367","103.741832917421"
"Clementi Primary School","8 CLEMENTI AVENUE 3 CLEMENTI PRIMARY SCHOOL SINGAPORE 129903","129903","CLEMENTI","CLEMENTI","1.31506321827875","103.763144493687"
"Compassvale Primary School","21 COMPASSVALE STREET COMPASSVALE PRIMARY SCHOOL SINGAPORE 545091","545091","SENGKANG","SENGKANG","1.39444529636566","103.897812229905"
